precinct,ballots_pct_of_total_avg_dw
JEFFERSON HILLS,0.6885631239513168
KENNEDY,0.9311619631214046
KILBUCK,0.04485556005587099
LEET,0.10879234293482035
LEETSDALE,0.11575207707438691
LIBERTY,0.2950372633405882
LINCOLN,0.08718797877159332
MARSHALL,0.21621345380107632
MCCANDLESS,1.4525251143403481
MCDONALD,0.020435100570023637
MCKEES ROCKS,0.4507883595228411
MCKEESPORT,1.8472628748065327
MILLVALE,0.22458836908714874
MONROEVILLE,2.3133484847927335
MOON,1.1046944300767476
MOUNT LEBANON,2.647475769261596
MOUNT OLIVER,0.1917752859358885
MUNHALL,1.4297911579342861
NORTH BRADDOCK,0.434323432712568
NORTH FAYETTE,0.48133383003196534
NORTH VERSAILLES,0.9508011382194068
NEVILLE,0.11849462095123642
OAKDALE,0.10332441093098463
OAKMONT,0.5564053337772226
O'HARA,0.7030535796465716
OHIO,0.22089089519503607
PENN HILLS,3.3076092844549083
PENNSBURY VILLAGE,0.05123412128988556
PINE,0.2806292691045749
PITCAIRN,0.3682428529856993
PITTSBURGH WARD 1,0.10719191272519323
PITTSBURGH WARD 10,1.937122959470812
PITTSBURGH WARD 11,1.7981616712740844
PITTSBURGH WARD 12,0.9162510980985319
PITTSBURGH WARD 13,1.0526561939883632
PITTSBURGH WARD 14,5.655299616621972
PITTSBURGH WARD 15,1.524658674995874
PITTSBURGH WARD 16,0.6589735733855089
PITTSBURGH WARD 17,0.48526766277623934
PITTSBURGH WARD 18,0.653714236973187
PITTSBURGH WARD 19,2.984052709665087
PITTSBURGH WARD 2,0.22083873113918495
PITTSBURGH WARD 20,1.327424812766021
PITTSBURGH WARD 21,0.38377039302296495
PITTSBURGH WARD 22,0.42206851840462156
PITTSBURGH WARD 23,0.2941666411259847
PITTSBURGH WARD 24,0.5500889901446048
PITTSBURGH WARD 25,0.38504535988250205
PITTSBURGH WARD 26,1.2866515645984509
PITTSBURGH WARD 27,1.3933084036346495
PITTSBURGH WARD 28,0.8829014810955598
PITTSBURGH WARD 29,0.8889777794362234
PITTSBURGH WARD 3,0.3952960486263324
PITTSBURGH WARD 30,0.25843141857296886
PITTSBURGH WARD 31,0.4803129793740274
PITTSBURGH WARD 32,0.6506802056107396
PITTSBURGH WARD 4,0.9953767975270169
PITTSBURGH WARD 5,0.9686241006409151
PITTSBURGH WARD 6,0.48857388418423253
PITTSBURGH WARD 7,1.176441927104382
PITTSBURGH WARD 8,1.181502192661584
PITTSBURGH WARD 9,0.8859409886262387
PLEASANT HILLS,0.5637270429219771
PLUM,1.5854261946247499
PORT VUE,0.3468645770853448
RANKIN,0.18298195755437843
RESERVE,0.27698356003322755
RICHLAND,0.4280539625914121
ROBINSON,1.100768984154598
ROSS,2.309403701103792
ROSSLYN FARMS,0.0512961029778849
SOUTH FAYETTE,0.8102171918675652
SOUTH VERSAILLES,0.025472861436924007
SCOTT,1.2803933313157496
SEWICKLEY,0.19681123896303743
SEWICKLEY HILLS,0.04033144618336198
SEWICKLEY HEIGHTS,0.022578195185879935
SHALER,1.8367432196482611
SHARPSBURG,0.3300598137069982
SOUTH PARK,0.7497995510409001
SPRINGDALE BR,0.31474641515927326
SPRINGDALE TP,0.1551477062668525
STOWE,0.6119210917119733
SWISSVALE,0.9097253899001715
TARENTUM,0.22800903765177483
THORNBURG,0.05606823246128652
TRAFFORD,0.0031578574949947193
TURTLE CREEK,0.3071291998358941
UPPER ST. CLAIR,0.8115103485714309
VERONA,0.27688612789554085
VERSAILLES,0.1292645068334321
WEST ELIZABETH,0.04098709135618475
WEST HOMESTEAD,0.3048180559699538
WALL,0.03608323902876394
WEST DEER,0.5324599413709105
WEST MIFFLIN,2.3238292181953035
WEST VIEW,0.45343345962067994
WHITAKER,0.13312759913752448
WHITE OAK,0.6146388554903487
WHITEHALL,1.0519125789175872
WILKINS,0.5423339564340942
WILKINSBURG,1.7719582193326417
WILMERDING,0.13387813670741922
